,0
0,839804
1,Tottenham Hotspur
2,Tottenham
3,8586
4,839796
5,Aston Villa
6,Aston Villa
7,10252
8,839797
9,Blackburn Rovers
10,Blackburn
11,8655
12,839799
13,Bolton Wanderers
14,Bolton
15,8559
16,839803
17,Sunderland
18,Sunderland
19,8472
20,840184
21,Wigan Athletic
22,Wigan
23,8528
24,839805
25,Wolverhampton Wanderers
26,Wolves
27,8602
28,839800
29,Chelsea
30,Chelsea
31,8455
32,839801
33,Liverpool
34,Liverpool
35,8650
36,839802
37,Manchester United
38,Man United
39,10260
40,839824
41,Arsenal
42,Arsenal
43,9825
44,839830
45,Birmingham City
46,Birmingham
47,8658
48,839826
49,Everton
50,Everton
51,8668
52,839832
53,Stoke City
54,Stoke
55,10194
56,839831
57,West Bromwich Albion
58,West Brom
59,8659
60,839825
61,West Ham United
62,West Ham
63,8654
64,839833
65,Wigan Athletic
66,Wigan
67,8528
68,839827
69,Newcastle United
70,Newcastle
71,10261
72,839829
73,Fulham
74,Fulham
75,9879
76,839828
77,Manchester City
78,Man City
79,8456
80,839840
81,Blackburn Rovers
82,Blackburn
83,8655
84,839842
85,Blackpool
86,Blackpool
87,8483
88,839843
89,Chelsea
90,Chelsea
91,8455
92,839837
93,Tottenham Hotspur
94,Tottenham
95,8586
96,839839
97,Wolverhampton Wanderers
98,Wolves
99,8602
100,839834
101,Manchester United
102,Man United
103,10260
104,839841
105,Bolton Wanderers
106,Bolton
107,8559
108,839835
109,Liverpool
110,Liverpool
111,8650
112,839836
113,Sunderland
114,Sunderland
115,8472
116,839838
117,Aston Villa
118,Aston Villa
119,10252
120,839846
121,Everton
122,Everton
123,8668
124,839844
125,Arsenal
126,Arsenal
127,9825
128,839849
129,Fulham
130,Fulham
131,9879
132,839848
133,Manchester City
134,Man City
135,8456
136,839847
137,Newcastle United
138,Newcastle
139,10261
140,839851
141,West Bromwich Albion
142,West Brom
143,8659
144,839845
145,West Ham United
146,West Ham
147,8654
148,839853
149,Wigan Athletic
150,Wigan
151,8528
152,839850
153,Birmingham City
154,Birmingham
155,8658
156,839852
157,Stoke City
158,Stoke
159,10194
160,839861
161,Stoke City
162,Stoke
163,10194
164,839857
165,Aston Villa
166,Aston Villa
167,10252
168,839859
169,Blackburn Rovers
170,Blackburn
171,8655
172,839858
173,Everton
174,Everton
175,8668
176,839856
177,Tottenham Hotspur
178,Tottenham
179,8586
180,839860
181,West Bromwich Albion
182,West Brom
183,8659
184,839855
185,Sunderland
186,Sunderland
187,8472
188,839854
189,Manchester United
190,Man United
191,10260
192,839862
193,Wigan Athletic
194,Wigan
195,8528
196,839863
197,Chelsea
198,Chelsea
199,8455
200,839868
201,Manchester City
202,Man City
203,8456
204,839864
205,Arsenal
206,Arsenal
207,9825
208,839871
209,Birmingham City
210,Birmingham
211,8658
212,839873
213,Blackpool
214,Blackpool
215,8483
216,839870
217,Fulham
218,Fulham
219,9879
220,839865
221,Liverpool
222,Liverpool
223,8650
224,839866
225,West Ham United
226,West Ham
227,8654
228,839872
229,Bolton Wanderers
230,Bolton
231,8559
232,839869
233,Wolverhampton Wanderers
234,Wolves
235,8602
236,839867
237,Newcastle United
238,Newcastle
239,10261
240,839882
241,Wigan Athletic
242,Wigan
243,8528
244,839879
245,Birmingham City
246,Birmingham
247,8658
248,839881
249,Stoke City
250,Stoke
251,10194
252,839876
253,Tottenham Hotspur
254,Tottenham
255,8586
256,839880
257,West Bromwich Albion
258,West Brom
259,8659
260,839877
261,West Ham United
262,West Ham
263,8654
264,839875
265,Sunderland
266,Sunderland
267,8472
268,839878
269,Manchester City
270,Man City
271,8456
272,839874
273,Liverpool
274,Liverpool
275,8650
276,839883
277,Chelsea
278,Chelsea
279,8455
280,839885
281,Arsenal
282,Arsenal
283,9825
284,839892
285,Bolton Wanderers
286,Bolton
287,8559
288,839891
289,Fulham
290,Fulham
291,9879
292,839884
293,Manchester United
294,Man United
295,10260
296,839888
297,Newcastle United
298,Newcastle
299,10261
300,839889
301,Wolverhampton Wanderers
302,Wolves
303,8602
304,839886
305,Aston Villa
306,Aston Villa
307,10252
308,839887
309,Everton
310,Everton
311,8668
312,839893
313,Blackpool
314,Blackpool
315,8483
316,839890
317,Blackburn Rovers
318,Blackburn
319,8655
320,839896
321,Tottenham Hotspur
322,Tottenham
323,8586
324,839899
325,Birmingham City
326,Birmingham
327,8658
328,839903
329,Chelsea
330,Chelsea
331,8455
332,839895
333,Sunderland
334,Sunderland
335,8472
336,839900
337,West Bromwich Albion
338,West Brom
339,8659
340,839902
341,Wigan Athletic
342,Wigan
343,8528
344,839897
345,West Ham United
346,West Ham
347,8654
348,839901
349,Stoke City
350,Stoke
351,10194
352,839894
353,Liverpool
354,Liverpool
355,8650
356,839898
357,Manchester City
358,Man City
359,8456
360,839905
361,Arsenal
362,Arsenal
363,9825
364,839910
365,Blackburn Rovers
366,Blackburn
367,8655
368,839907
369,Everton
370,Everton
371,8668
372,839911
373,Fulham
374,Fulham
375,9879
376,839909
377,Wolverhampton Wanderers
378,Wolves
379,8602
380,839904
381,Manchester United
382,Man United
383,10260
384,839906
385,Aston Villa
386,Aston Villa
387,10252
388,839908
389,Newcastle United
390,Newcastle
391,10261
392,839912
393,Bolton Wanderers
394,Bolton
395,8559
396,839913
397,Blackpool
398,Blackpool
399,8483
400,839921
401,Bolton Wanderers
402,Bolton
403,8559
404,839920
405,Birmingham City
406,Birmingham
407,8658
408,839918
409,Blackburn Rovers
410,Blackburn
411,8655
412,839923
413,Blackpool
414,Blackpool
415,8483
416,839919
417,Fulham
418,Fulham
419,9879
420,839914
421,Manchester United
422,Man United
423,10260
424,839917
425,Sunderland
426,Sunderland
427,8472
428,839915
429,Arsenal
430,Arsenal
431,9825
432,839922
433,West Bromwich Albion
434,West Brom
435,8659
436,839916
437,Liverpool
438,Liverpool
439,8650
440,839927
441,Stoke City
442,Stoke
443,10194
444,839924
445,Tottenham Hotspur
446,Tottenham
447,8586
448,839929
449,Aston Villa
450,Aston Villa
451,10252
452,839933
453,Chelsea
454,Chelsea
455,8455
456,839931
457,Newcastle United
458,Newcastle
459,10261
460,839925
461,West Ham United
462,West Ham
463,8654
464,839928
465,Wigan Athletic
466,Wigan
467,8528
468,839926
469,Wolverhampton Wanderers
470,Wolves
471,8602
472,839930
473,Everton
474,Everton
475,8668
476,839932
477,Manchester City
478,Man City
479,8456
480,839936
481,Aston Villa
482,Aston Villa
483,10252
484,839939
485,Manchester City
486,Man City
487,8456
488,839938
489,Newcastle United
490,Newcastle
491,10261
492,839934
493,Tottenham Hotspur
494,Tottenham
495,8586
496,839935
497,West Ham United
498,West Ham
499,8654
500,839942
501,Wigan Athletic
502,Wigan
