Home Team,Away Team,Reason,Score,URL,UTC Time
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,0 - 0,/match/839804/matchfacts/tottenham-hotspur-vs-manchester-city,2010-08-14T09:45:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,3 - 0,/match/839796/matchfacts/aston-villa-vs-west-ham-united,2010-08-14T12:00:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,1 - 0,/match/839797/matchfacts/blackburn-rovers-vs-everton,2010-08-14T12:00:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}",FT,0 - 0,/match/839799/matchfacts/bolton-wanderers-vs-fulham,2010-08-14T12:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,2 - 2,/match/839803/matchfacts/sunderland-vs-birmingham-city,2010-08-14T12:00:00.000Z
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,0 - 4,/match/840184/matchfacts/wigan-athletic-vs-blackpool,2010-08-14T12:00:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}",FT,2 - 1,/match/839805/matchfacts/wolverhampton-wanderers-vs-stoke-city,2010-08-14T12:00:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,6 - 0,/match/839800/matchfacts/chelsea-vs-west-bromwich-albion,2010-08-14T14:30:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,1 - 1,/match/839801/matchfacts/liverpool-vs-arsenal,2010-08-15T13:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,3 - 0,/match/839802/matchfacts/manchester-united-vs-newcastle-united,2010-08-16T17:00:00.000Z
