,0,1,2,3,4,5,6,7,8,9,10
0,Tottenham Hotspur,Tottenham,8586,Manchester City,Man City,8456,FT,0 - 0,/match/839804/matchfacts/tottenham-hotspur-vs-manchester-city,839804,2010-08-14T09:45:00.000Z
1,Aston Villa,Aston Villa,10252,West Ham United,West Ham,8654,FT,3 - 0,/match/839796/matchfacts/aston-villa-vs-west-ham-united,839796,2010-08-14T12:00:00.000Z
2,Blackburn Rovers,Blackburn,8655,Everton,Everton,8668,FT,1 - 0,/match/839797/matchfacts/blackburn-rovers-vs-everton,839797,2010-08-14T12:00:00.000Z
3,Bolton Wanderers,Bolton,8559,Fulham,Fulham,9879,FT,0 - 0,/match/839799/matchfacts/bolton-wanderers-vs-fulham,839799,2010-08-14T12:00:00.000Z
4,Sunderland,Sunderland,8472,Birmingham City,Birmingham,8658,FT,02-Feb,/match/839803/matchfacts/sunderland-vs-birmingham-city,839803,2010-08-14T12:00:00.000Z
5,Wigan Athletic,Wigan,8528,Blackpool,Blackpool,8483,FT,0 - 4,/match/840184/matchfacts/wigan-athletic-vs-blackpool,840184,2010-08-14T12:00:00.000Z
6,Wolverhampton Wanderers,Wolves,8602,Stoke City,Stoke,10194,FT,02-Jan,/match/839805/matchfacts/wolverhampton-wanderers-vs-stoke-city,839805,2010-08-14T12:00:00.000Z
7,Chelsea,Chelsea,8455,West Bromwich Albion,West Brom,8659,FT,6 - 0,/match/839800/matchfacts/chelsea-vs-west-bromwich-albion,839800,2010-08-14T14:30:00.000Z
8,Liverpool,Liverpool,8650,Arsenal,Arsenal,9825,FT,01-Jan,/match/839801/matchfacts/liverpool-vs-arsenal,839801,2010-08-15T13:00:00.000Z
9,Manchester United,Man United,10260,Newcastle United,Newcastle,10261,FT,3 - 0,/match/839802/matchfacts/manchester-united-vs-newcastle-united,839802,2010-08-16T17:00:00.000Z
10,Arsenal,Arsenal,9825,Blackpool,Blackpool,8483,FT,6 - 0,/match/839824/matchfacts/arsenal-vs-blackpool,839824,2010-08-21T12:00:00.000Z
